symbol,security_id,exchange
LTF-Sep2025-FUT,53401,NSE
OBEROIRLTY-Jul2025-FUT,53402,NSE
OFSS-Jul2025-FUT,53403,NSE
OIL-Jul2025-FUT,53404,NSE
ONGC-Jul2025-FUT,53405,NSE
PAGEIND-Jul2025-FUT,53406,NSE
PATANJALI-Jul2025-FUT,53407,NSE
PAYTM-Jul2025-FUT,53408,NSE
PEL-Jul2025-FUT,53409,NSE
LTIM-Sep2025-FUT,53410,NSE
LUPIN-Sep2025-FUT,53411,NSE
M&M-Sep2025-FUT,53412,NSE
PERSISTENT-Jul2025-FUT,53413,NSE
PETRONET-Jul2025-FUT,53414,NSE
PFC-Jul2025-FUT,53415,NSE
PHOENIXLTD-Jul2025-FUT,53416,NSE
PIDILITIND-Jul2025-FUT,53418,NSE
PIIND-Jul2025-FUT,53419,NSE
PNB-Jul2025-FUT,53420,NSE
PNBHOUSING-Jul2025-FUT,53421,NSE
POLICYBZR-Jul2025-FUT,53422,NSE
POLYCAB-Jul2025-FUT,53423,NSE
POONAWALLA-Jul2025-FUT,53424,NSE
POWERGRID-Jul2025-FUT,53425,NSE
PRESTIGE-Jul2025-FUT,53426,NSE
RBLBANK-Jul2025-FUT,53427,NSE
RECLTD-Jul2025-FUT,53428,NSE
RELIANCE-Jul2025-FUT,53429,NSE
SAIL-Jul2025-FUT,53430,NSE
SBICARD-Jul2025-FUT,53431,NSE
SBILIFE-Jul2025-FUT,53432,NSE
SBIN-Jul2025-FUT,53433,NSE
SHREECEM-Jul2025-FUT,53434,NSE
SHRIRAMFIN-Jul2025-FUT,53435,NSE
SIEMENS-Jul2025-FUT,53436,NSE
SJVN-Jul2025-FUT,53437,NSE
SOLARINDS-Jul2025-FUT,53438,NSE
SONACOMS-Jul2025-FUT,53439,NSE
SRF-Jul2025-FUT,53440,NSE
SUNPHARMA-Jul2025-FUT,53441,NSE
SUPREMEIND-Jul2025-FUT,53442,NSE
SYNGENE-Jul2025-FUT,53443,NSE
TATACHEM-Jul2025-FUT,53448,NSE
TATACOMM-Jul2025-FUT,53449,NSE
TATACONSUM-Jul2025-FUT,53450,NSE
TATAELXSI-Jul2025-FUT,53451,NSE
TATAMOTORS-Jul2025-FUT,53452,NSE
TATAPOWER-Jul2025-FUT,53453,NSE
TATASTEEL-Jul2025-FUT,53454,NSE
TATATECH-Jul2025-FUT,53455,NSE
TCS-Jul2025-FUT,53460,NSE
TECHM-Jul2025-FUT,53461,NSE
TIINDIA-Jul2025-FUT,53464,NSE
TITAGARH-Jul2025-FUT,53465,NSE
TITAN-Jul2025-FUT,53466,NSE
TORNTPHARM-Jul2025-FUT,53467,NSE
TORNTPOWER-Jul2025-FUT,53468,NSE
TRENT-Jul2025-FUT,53469,NSE
TVSMOTOR-Jul2025-FUT,53470,NSE
ULTRACEMCO-Jul2025-FUT,53471,NSE
UNIONBANK-Jul2025-FUT,53472,NSE
UNITDSPR-Jul2025-FUT,53473,NSE
UPL-Jul2025-FUT,53474,NSE
VBL-Jul2025-FUT,53475,NSE
MANAPPURAM-Sep2025-FUT,53476,NSE
MANKIND-Sep2025-FUT,53477,NSE
VEDL-Jul2025-FUT,53478,NSE
VOLTAS-Jul2025-FUT,53479,NSE
WIPRO-Jul2025-FUT,53480,NSE
YESBANK-Jul2025-FUT,53481,NSE
ZYDUSLIFE-Jul2025-FUT,53484,NSE
MARICO-Sep2025-FUT,53492,NSE
MARUTI-Sep2025-FUT,53493,NSE
MAXHEALTH-Sep2025-FUT,53703,NSE
MAZDOCK-Sep2025-FUT,53704,NSE
MCX-Sep2025-FUT,53705,NSE
MFSL-Sep2025-FUT,53706,NSE
MOTHERSON-Sep2025-FUT,53707,NSE
MPHASIS-Sep2025-FUT,53708,NSE
MUTHOOTFIN-Sep2025-FUT,53709,NSE
NATIONALUM-Sep2025-FUT,53710,NSE
NAUKRI-Sep2025-FUT,53711,NSE
NBCC-Sep2025-FUT,53714,NSE
NCC-Sep2025-FUT,53715,NSE
NESTLEIND-Sep2025-FUT,53720,NSE
NHPC-Sep2025-FUT,53721,NSE
NMDC-Sep2025-FUT,53746,NSE
NTPC-Sep2025-FUT,53747,NSE
NYKAA-Sep2025-FUT,53748,NSE
OBEROIRLTY-Sep2025-FUT,53749,NSE
OFSS-Sep2025-FUT,53750,NSE
OIL-Sep2025-FUT,53751,NSE
ONGC-Sep2025-FUT,53752,NSE
PAGEIND-Sep2025-FUT,53753,NSE
PATANJALI-Sep2025-FUT,53754,NSE
PAYTM-Sep2025-FUT,53755,NSE
PERSISTENT-Sep2025-FUT,53757,NSE
PETRONET-Sep2025-FUT,53758,NSE
PFC-Sep2025-FUT,53759,NSE
PGEL-Jul2025-FUT,53763,NSE
PGEL-Aug2025-FUT,53764,NSE
PGEL-Sep2025-FUT,53765,NSE
PHOENIXLTD-Sep2025-FUT,53766,NSE
PIDILITIND-Sep2025-FUT,53769,NSE
PIIND-Sep2025-FUT,53777,NSE
PNB-Sep2025-FUT,53778,NSE
PNBHOUSING-Sep2025-FUT,53779,NSE
POLICYBZR-Sep2025-FUT,53781,NSE
POLYCAB-Sep2025-FUT,53791,NSE
POWERGRID-Sep2025-FUT,53792,NSE
PPLPHARMA-Sep2025-FUT,53795,NSE
PRESTIGE-Sep2025-FUT,53798,NSE
RBLBANK-Sep2025-FUT,53802,NSE
RECLTD-Sep2025-FUT,53803,NSE
RELIANCE-Sep2025-FUT,53806,NSE
RVNL-Sep2025-FUT,53807,NSE
SAIL-Sep2025-FUT,53808,NSE
SBICARD-Sep2025-FUT,53809,NSE
SBILIFE-Sep2025-FUT,53812,NSE
SBIN-Sep2025-FUT,53815,NSE
SHREECEM-Sep2025-FUT,53833,NSE
SHRIRAMFIN-Sep2025-FUT,53834,NSE
SIEMENS-Sep2025-FUT,53835,NSE
SOLARINDS-Sep2025-FUT,53836,NSE
SONACOMS-Sep2025-FUT,53837,NSE
SRF-Sep2025-FUT,53838,NSE
